Input	Output
3374  1.84931506849315      0.05466237942122273	3375  1.84931506849315       0.0550161812297744
3375  1.84931506849315       0.0550161812297744	3376  1.88454011741683    -0.035369774919611255
3376  1.88454011741683    -0.035369774919611255	3377  1.88454011741683    -0.032258064516127144
3377  1.88454011741683    -0.032258064516127144	3378  1.88454011741683    -0.035369774919611255
3378  1.88454011741683    -0.035369774919611255	3379  1.88454011741683    -0.032258064516127144
3379  1.88454011741683    -0.032258064516127144	3380  1.88454011741683    -0.032258064516127144
3380  1.88454011741683    -0.032258064516127144	3381  1.88454011741683    -0.032258064516127144
3381  1.88454011741683    -0.032258064516127144	3382  1.84931506849315     0.051612903225806715
3382  1.84931506849315     0.051612903225806715	3383  1.84931506849315      0.04516129032257969
3383  1.84931506849315      0.04516129032257969	3384  1.84931506849315      0.04207119741100328
3384  1.84931506849315      0.04207119741100328	3385  1.84931506849315      0.04207119741100328
3385  1.84931506849315      0.04207119741100328	3386  1.84931506849315       0.0324675324675306
3386  1.84931506849315       0.0324675324675306	3387  1.84931506849315       0.0324675324675306
3387  1.84931506849315       0.0324675324675306	3388  1.84931506849315       0.0324675324675306
3388  1.84931506849315       0.0324675324675306	3389  1.84931506849315      0.02580645161290171
3389  1.84931506849315      0.02580645161290171	3390  1.84931506849315     0.019480519480519935
3390  1.84931506849315     0.019480519480519935	3391  1.84931506849315     0.016181229773462587
3391  1.84931506849315     0.016181229773462587	3392  1.84931506849315      0.01298701298701216
3392  1.84931506849315      0.01298701298701216	3393  1.84931506849315      0.01298701298701216
3393  1.84931506849315      0.01298701298701216	3394  1.84931506849315     0.009708737864077832
3394  1.84931506849315     0.009708737864077832	3395  1.84931506849315      0.00323624595469313
3395  1.84931506849315      0.00323624595469313	3396  1.84931506849315   -7.320309233334909e-17
3396  1.84931506849315   -7.320309233334909e-17	3397  1.84931506849315   -0.0032362459546932034
3397  1.84931506849315   -0.0032362459546932034	3398  1.84931506849315     -0.00649350649350609
3398  1.84931506849315     -0.00649350649350609	3399  1.84931506849315    -0.012903225806452404
3399  1.84931506849315    -0.012903225806452404	3400  1.84931506849315    -0.016077170418006267
3400  1.84931506849315    -0.016077170418006267	3401  1.84931506849315    -0.019354838709677913
3401  1.84931506849315    -0.019354838709677913	3402  1.84931506849315      -0.0226537216828474
3402  1.84931506849315      -0.0226537216828474	3403  1.84931506849315     -0.02580645161290171
3403  1.84931506849315     -0.02580645161290171	3404  1.84931506849315      -0.0226537216828474
3404  1.84931506849315      -0.0226537216828474	3405  1.84931506849315      -0.0226537216828474
3405  1.84931506849315      -0.0226537216828474	3406  1.88454011741683    -0.028938906752410686
3406  1.88454011741683    -0.028938906752410686	3407  1.88454011741683    -0.032258064516127144
3407  1.88454011741683    -0.032258064516127144	3408  1.88454011741683     -0.02580645161290335
3408  1.88454011741683     -0.02580645161290335	3409  1.88454011741683     -0.02250803858521012
3409  1.88454011741683     -0.02250803858521012	3410  1.88454011741683     -0.02250803858521012
3410  1.88454011741683     -0.02250803858521012	3411  1.88454011741683     -0.02250803858521012
3411  1.88454011741683     -0.02250803858521012	3412  1.88454011741683    -0.019230769230769693
3412  1.88454011741683    -0.019230769230769693	3413  1.88454011741683    -0.019230769230769693
3413  1.88454011741683    -0.019230769230769693	3414  1.88454011741683    -0.016077170418006267
3414  1.88454011741683    -0.016077170418006267	3415  1.88454011741683    -0.016077170418006267
3415  1.88454011741683    -0.016077170418006267	3416  1.88454011741683    -0.009646302250804113
3416  1.88454011741683    -0.009646302250804113	3417  1.88454011741683    -0.009646302250804113
3417  1.88454011741683    -0.009646302250804113	3418  1.88454011741683    -0.003215434083601998
3418  1.88454011741683    -0.003215434083601998	3419  1.88454011741683    -0.006451612903227092
3419  1.88454011741683    -0.006451612903227092	3420  1.88454011741683   -7.273384174146855e-17
3420  1.88454011741683   -7.273384174146855e-17	3421  1.88454011741683    0.0032154340836018517
3421  1.88454011741683    0.0032154340836018517	3422  1.88454011741683     0.006410256410256017
3422  1.88454011741683     0.006410256410256017	3423  1.88454011741683     0.006451612903225325
3423  1.88454011741683     0.006451612903225325	3424  1.88454011741683     0.009646302250802418
3424  1.88454011741683     0.009646302250802418	3425  1.88454011741683     0.016077170418006267
3425  1.88454011741683     0.016077170418006267	3426  1.88454011741683     0.016077170418006267
3426  1.88454011741683     0.016077170418006267	3427  1.88454011741683     0.019230769230768052
3427  1.88454011741683     0.019230769230768052	3428  1.88454011741683     0.025806451612901706
3428  1.88454011741683     0.025806451612901706	3429  1.88454011741683       0.0322580645161288
3429  1.88454011741683       0.0322580645161288	3430  1.88454011741683       0.0324675324675306
3430  1.88454011741683       0.0324675324675306	3431  1.88454011741683     0.038709677419354216
3431  1.88454011741683     0.038709677419354216	3432  1.88454011741683     0.038709677419354216
3432  1.88454011741683     0.038709677419354216	3433  1.88454011741683      0.04207119741100328
3433  1.88454011741683      0.04207119741100328	3434  1.88454011741683     0.051612903225806785
3434  1.88454011741683     0.051612903225806785	3435  1.88454011741683     0.051612903225806785
3435  1.88454011741683     0.051612903225806785	3436  1.88454011741683       0.0550161812297744
3436  1.88454011741683       0.0550161812297744	3437  1.88454011741683      0.05806451612903381
3437  1.88454011741683      0.05806451612903381	3438  1.88454011741683      0.06493506493506433
3438  1.88454011741683      0.06493506493506433	3439  1.88454011741683      0.06796116504854369
3439  1.88454011741683      0.06796116504854369	3440  1.88454011741683      0.07142857142857212
3440  1.88454011741683      0.07142857142857212	3441  1.88454011741683      0.07443365695792858
3441  1.88454011741683      0.07443365695792858	3442  1.88454011741683       0.0809061488673135
3442  1.88454011741683       0.0809061488673135	3443  1.88454011741683      0.07741935483870856
3443  1.88454011741683      0.07741935483870856	3444  1.88454011741683       0.0844155844155847
3444  1.88454011741683       0.0844155844155847	3445  1.88454011741683      0.08737864077669989
3445  1.88454011741683      0.08737864077669989	3446  1.88454011741683      0.09032258064516274
3446  1.88454011741683      0.09032258064516274	3447  1.88454011741683      0.09032258064516274
3447  1.88454011741683      0.09032258064516274	3448  1.88454011741683      0.09385113268608454
3448  1.88454011741683      0.09385113268608454	3449  1.88454011741683      0.09385113268608454
3449  1.88454011741683      0.09385113268608454	3450  1.88454011741683        0.096774193548388
3450  1.88454011741683        0.096774193548388	3451  1.86692759295499        0.096774193548388
3451  1.86692759295499        0.096774193548388	3452  1.86692759295499      0.10032362459547087
3452  1.86692759295499      0.10032362459547087	3453  1.86692759295499      0.10322580645161508
3453  1.86692759295499      0.10322580645161508	3454  1.84931506849315     -0.02580645161290335
3454  1.84931506849315     -0.02580645161290335	3455  1.84931506849315    -0.028938906752410686
3455  1.84931506849315    -0.028938906752410686	3456  1.84931506849315    -0.032258064516127144
3456  1.84931506849315    -0.032258064516127144	3457  1.84931506849315    -0.035369774919611255
3457  1.84931506849315    -0.035369774919611255	3458  1.84931506849315     -0.03246753246753224
3458  1.84931506849315     -0.03246753246753224	3459  1.84931506849315     -0.03205128205128016
3459  1.84931506849315     -0.03205128205128016	3460  1.84931506849315      0.10679611650485389
3460  1.84931506849315      0.10679611650485389	3461  1.84931506849315      0.10610932475884369
3461  1.84931506849315      0.10610932475884369	3462  1.84931506849315      0.11254019292604568
3462  1.84931506849315      0.11254019292604568	3463  1.84931506849315      0.11612903225806402
3463  1.84931506849315      0.11612903225806402	3464  1.84931506849315      0.11612903225806402
3464  1.84931506849315      0.11612903225806402	3465  1.84931506849315      0.11897106109324623
3465  1.84931506849315      0.11897106109324623	3466  1.84931506849315      0.11897106109324623
3466  1.84931506849315      0.11897106109324623	3467  1.84931506849315      0.12258064516128966
3467  1.84931506849315      0.12258064516128966	3468  1.84931506849315      0.12258064516128966
3468  1.84931506849315      0.12258064516128966	3469  1.84931506849315      0.12540192926044857
3469  1.84931506849315      0.12540192926044857	3470  1.84931506849315       0.1282051282051272
3470  1.84931506849315       0.1282051282051272	3471  1.84931506849315      0.13183279742765244
3471  1.84931506849315      0.13183279742765244	3472  1.84931506849315       0.1354838709677424
3472  1.84931506849315       0.1354838709677424	3473  1.84931506849315       0.1354838709677424
3473  1.84931506849315       0.1354838709677424	3474  1.84931506849315       0.1354838709677424
3474  1.84931506849315       0.1354838709677424	3475  1.84931506849315       0.1354838709677424
3475  1.84931506849315       0.1354838709677424	3476  1.84931506849315       0.1354838709677424
3476  1.84931506849315       0.1354838709677424	3477  1.84931506849315       0.1354838709677424
3477  1.84931506849315       0.1354838709677424	3478  1.84931506849315      0.13826366559485628
3478  1.84931506849315      0.13826366559485628	3479  1.84931506849315      0.13826366559485628
3479  1.84931506849315      0.13826366559485628	3480  1.84931506849315      0.13826366559485628
3480  1.84931506849315      0.13826366559485628	3481  1.84931506849315      0.14193548387096755
3481  1.84931506849315      0.14193548387096755	3482  1.84931506849315      0.14193548387096755
3482  1.84931506849315      0.14193548387096755	3483  1.84931506849315      0.14193548387096755
3483  1.84931506849315      0.14193548387096755	3484  1.84931506849315      0.14193548387096755
3484  1.84931506849315      0.14193548387096755	3485  1.84931506849315      0.14193548387096755
3485  1.84931506849315      0.14193548387096755	3486  1.84931506849315      0.14563106796116557
3486  1.84931506849315      0.14563106796116557	3487  1.84931506849315      0.14563106796116557
3487  1.84931506849315      0.14563106796116557	3488  1.84931506849315      0.14193548387096755
3488  1.84931506849315      0.14193548387096755	3489  1.84931506849315      0.14193548387096755
3489  1.84931506849315      0.14193548387096755	3490  1.84931506849315      0.14193548387096755
3490  1.84931506849315      0.14193548387096755	3491  1.84931506849315      0.13915857605177917
3491  1.84931506849315      0.13915857605177917	3492  1.84931506849315      0.14193548387096755
3492  1.84931506849315      0.14193548387096755	3493  1.84931506849315      0.14193548387096755
3493  1.84931506849315      0.14193548387096755	3494  1.84931506849315      0.13915857605177917
3494  1.84931506849315      0.13915857605177917	3495  1.84931506849315       0.1354838709677424
3495  1.84931506849315       0.1354838709677424	3496  1.84931506849315       0.1354838709677424
3496  1.84931506849315       0.1354838709677424	3497  1.84931506849315       0.1354838709677424
3497  1.84931506849315       0.1354838709677424	3498  1.84931506849315      0.13268608414239613
3498  1.84931506849315      0.13268608414239613	3499  1.84931506849315       0.1354838709677424
3499  1.84931506849315       0.1354838709677424	3500  1.84931506849315      0.12987012987013066
3500  1.84931506849315      0.12987012987013066	3501  1.84931506849315      0.12540192926044857
3501  1.84931506849315      0.12540192926044857	3502  1.84931506849315      0.12258064516128966
3502  1.84931506849315      0.12258064516128966	3503  1.84931506849315      0.12258064516128966
3503  1.84931506849315      0.12258064516128966	3504  1.84931506849315       0.1197411003236248
3504  1.84931506849315       0.1197411003236248	3505  1.84931506849315      0.11612903225806402
3505  1.84931506849315      0.11612903225806402	3506  1.84931506849315       0.1132686084142384
3506  1.84931506849315       0.1132686084142384	3507  1.84931506849315       0.1132686084142384
3507  1.84931506849315       0.1132686084142384	3508  1.84931506849315      0.10679611650485382
3508  1.84931506849315      0.10679611650485382	3509  1.84931506849315      0.10032362459547087
3509  1.84931506849315      0.10032362459547087	3510  1.84931506849315      0.09090909090909072
3510  1.84931506849315      0.09090909090909072	3511  1.84931506849315      0.09090909090909072
3511  1.84931506849315      0.09090909090909072	3512  1.84931506849315      0.08441558441558293
3512  1.84931506849315      0.08441558441558293	3513  1.84931506849315       0.0809061488673135
3513  1.84931506849315       0.0809061488673135	3514  1.84931506849315      0.07491856677524568
3514  1.84931506849315      0.07491856677524568	3515  1.84931506849315      0.07142857142857212
3515  1.84931506849315      0.07142857142857212	3516  1.84931506849315      0.06840390879478836
3516  1.84931506849315      0.06840390879478836	3517  1.84931506849315      0.06148867313915902
3517  1.84931506849315      0.06148867313915902	3518  1.84931506849315      0.05844155844155828
3518  1.84931506849315      0.05844155844155828	3519  1.90215264187867      0.07142857142857212
3519  1.90215264187867      0.07142857142857212	3520  1.84931506849315     -0.03205128205128016
3520  1.84931506849315     -0.03205128205128016	3521  1.84931506849315     -0.03205128205128016
3521  1.84931506849315     -0.03205128205128016	3522  1.84931506849315     -0.03205128205128016
3522  1.84931506849315     -0.03205128205128016	3523  1.84931506849315    -0.028938906752410686
3523  1.84931506849315    -0.028938906752410686	3524  1.84931506849315    -0.028938906752410686
3524  1.84931506849315    -0.028938906752410686	3525  1.84931506849315     -0.02580645161290335
3525  1.84931506849315     -0.02580645161290335	3526  1.90215264187867      0.07491856677524568
3526  1.90215264187867      0.07491856677524568	3527  1.90215264187867      0.07189542483660209
3527  1.90215264187867      0.07189542483660209	3528  1.90215264187867      0.06885245901639361
3528  1.90215264187867      0.06885245901639361	3529  1.90215264187867      0.06796116504854369
3529  1.90215264187867      0.06796116504854369	3530  1.90215264187867      0.06493506493506433
3530  1.90215264187867      0.06493506493506433	3531  1.90215264187867      0.06493506493506433
3531  1.90215264187867      0.06493506493506433	3532  1.90215264187867      0.05844155844155828
3532  1.90215264187867      0.05844155844155828	3533  1.90215264187867      0.05844155844155828
3533  1.90215264187867      0.05844155844155828	3534  1.90215264187867     0.055374592833875455
3534  1.90215264187867     0.055374592833875455	3535  1.90215264187867     0.061488673139159025
3535  1.90215264187867     0.061488673139159025	3536  1.90215264187867       0.0645161290322591
3536  1.90215264187867       0.0645161290322591	3537  1.90215264187867      0.06493506493506433
3537  1.90215264187867      0.06493506493506433	3538  1.90215264187867      0.06493506493506433
3538  1.90215264187867      0.06493506493506433	3539  1.90215264187867     0.061488673139159025
3539  1.90215264187867     0.061488673139159025	3540  1.90215264187867     0.061488673139159025
3540  1.90215264187867     0.061488673139159025	3541  1.90215264187867     0.061488673139159025
3541  1.90215264187867     0.061488673139159025	3542  1.90215264187867     0.061488673139159025
3542  1.90215264187867     0.061488673139159025	3543  1.90215264187867      0.06752411575562714
3543  1.90215264187867      0.06752411575562714	3544  1.90215264187867       0.0645161290322591
3544  1.90215264187867       0.0645161290322591	3545  1.90215264187867      0.06752411575562714
3545  1.90215264187867      0.06752411575562714	3546  1.90215264187867      0.06410256410256533
3546  1.90215264187867      0.06410256410256533	3547  1.90215264187867      0.06070287539936165
3547  1.90215264187867      0.06070287539936165	3548  1.90215264187867      0.05806451612903381
3548  1.90215264187867      0.05806451612903381	3549  1.90215264187867     0.054662379421222804
3549  1.90215264187867     0.054662379421222804	3550  1.84931506849315    -0.028938906752410686
3550  1.84931506849315    -0.028938906752410686	3551  1.84931506849315    -0.028938906752410686
3551  1.84931506849315    -0.028938906752410686	3552  1.84931506849315      -0.0226537216828474
3552  1.84931506849315      -0.0226537216828474	3553  1.84931506849315    -0.025641025641024103
3553  1.84931506849315    -0.025641025641024103	3554  1.84931506849315    -0.016077170418006267
3554  1.84931506849315    -0.016077170418006267	3555  1.84931506849315    -0.016077170418006267
3555  1.84931506849315    -0.016077170418006267	3556  1.84931506849315    -0.016077170418006267
3556  1.84931506849315    -0.016077170418006267	3557  1.84931506849315    -0.016077170418006267
3557  1.84931506849315    -0.016077170418006267	3558  1.84931506849315    -0.016077170418006267
3558  1.84931506849315    -0.016077170418006267	3559  1.84931506849315    -0.009646302250805702
3559  1.84931506849315    -0.009646302250805702	3560  1.84931506849315    -0.012820512820513708
3560  1.84931506849315    -0.012820512820513708	3561  1.84931506849315    -0.009646302250805702
3561  1.84931506849315    -0.009646302250805702	3562  1.84931506849315    -0.009646302250805702
3562  1.84931506849315    -0.009646302250805702	3563  1.84931506849315    -0.009646302250805702
3563  1.84931506849315    -0.009646302250805702	3564  1.84931506849315    -0.009646302250805702
3564  1.84931506849315    -0.009646302250805702	3565  1.84931506849315                      0.0
3565  1.84931506849315                      0.0	3566  1.84931506849315                      0.0
3566  1.84931506849315                      0.0	3567  1.84931506849315    0.0032154340836018517
3567  1.84931506849315    0.0032154340836018517	3568  1.84931506849315     0.009646302250805702
3568  1.84931506849315     0.009646302250805702	3569  1.84931506849315     0.009646302250805702
3569  1.84931506849315     0.009646302250805702	3570  1.84931506849315     0.012903225806452406
3570  1.84931506849315     0.012903225806452406	3571  1.84931506849315      0.01597444089456856
3571  1.84931506849315      0.01597444089456856	3572  1.84931506849315      0.01935483870967627
3572  1.84931506849315      0.01935483870967627	3573  1.84931506849315     0.016181229773462587
3573  1.84931506849315     0.016181229773462587	3574  1.84931506849315       0.0256410256410241
3574  1.84931506849315       0.0256410256410241	3575  1.84931506849315     0.028938906752410683
3575  1.84931506849315     0.028938906752410683	3576  1.84931506849315     0.028938906752410683
3576  1.84931506849315     0.028938906752410683	3577  1.84931506849315      0.03846153846153785
3577  1.84931506849315      0.03846153846153785	3578  1.84931506849315       0.0418006430868151
3578  1.84931506849315       0.0418006430868151	3579  1.84931506849315       0.0418006430868151
3579  1.84931506849315       0.0418006430868151	3580  1.84931506849315      0.04487179487179387
3580  1.84931506849315      0.04487179487179387	3581  1.84931506849315     0.048231511254018956
3581  1.84931506849315     0.048231511254018956	3582  1.84931506849315     0.054662379421222804
3582  1.84931506849315     0.054662379421222804	3583  1.84931506849315     0.061093247588426575
3583  1.84931506849315     0.061093247588426575	3584  1.84931506849315     0.061093247588426575
3584  1.84931506849315     0.061093247588426575	3585  1.84931506849315       0.0645161290322591
3585  1.84931506849315       0.0645161290322591	3586  1.84931506849315      0.07096774193548297
3586  1.84931506849315      0.07096774193548297	3587  1.84931506849315      0.07096774193548297
3587  1.84931506849315      0.07096774193548297	3588  1.84931506849315      0.07741935483870856
3588  1.84931506849315      0.07741935483870856	3589  1.84931506849315      0.08038585209003163
3589  1.84931506849315      0.08038585209003163	3590  1.84931506849315      0.08038585209003163
3590  1.84931506849315      0.08038585209003163	3591  1.84931506849315      0.08387096774193566
3591  1.84931506849315      0.08387096774193566	3592  1.84931506849315      0.09032258064516267
3592  1.84931506849315      0.09032258064516267	3593  1.84931506849315      0.09032258064516267
3593  1.84931506849315      0.09032258064516267	3594  1.84931506849315      0.09385113268608447
3594  1.84931506849315      0.09385113268608447	3595  1.84931506849315        0.096774193548388
3595  1.84931506849315        0.096774193548388	3596  1.84931506849315      0.09967845659163983
3596  1.84931506849315      0.09967845659163983	3597  1.84931506849315      0.10679611650485389
3597  1.84931506849315      0.10679611650485389	3598  1.90215264187867      0.05769230769230772
3598  1.90215264187867      0.05769230769230772	3599  1.90215264187867      0.05769230769230772
3599  1.90215264187867      0.05769230769230772	3600  1.90215264187867     0.054662379421222804
3600  1.90215264187867     0.054662379421222804	3601  1.90215264187867      0.05769230769230772
3601  1.90215264187867      0.05769230769230772	3602  1.90215264187867      0.05769230769230772
3602  1.90215264187867      0.05769230769230772	3603  1.90215264187867      0.05769230769230772
3603  1.90215264187867      0.05769230769230772	3604  1.90215264187867      0.10322580645161172
3604  1.90215264187867      0.10322580645161172	3605  1.90215264187867      0.10322580645161172
3605  1.90215264187867      0.10322580645161172	3606  1.90215264187867      0.10610932475884183
3606  1.90215264187867      0.10610932475884183	3607  1.90215264187867      0.10322580645161172
3607  1.90215264187867      0.10322580645161172	3608  1.86692759295499      0.10610932475884183
3608  1.86692759295499      0.10610932475884183	3609  1.86692759295499      0.10610932475884183
3609  1.86692759295499      0.10610932475884183	3610  1.86692759295499      0.10610932475884183
3610  1.86692759295499      0.10610932475884183	3611  1.86692759295499      0.10610932475884183
3611  1.86692759295499      0.10610932475884183	3612  1.86692759295499       0.1025641025641031
3612  1.86692759295499       0.1025641025641031	3613  1.86692759295499      0.10610932475884183
3613  1.86692759295499      0.10610932475884183	3614  1.86692759295499      0.10610932475884183
3614  1.86692759295499      0.10610932475884183	3615  1.90215264187867      0.10610932475884183
3615  1.90215264187867      0.10610932475884183	3616  1.90215264187867      0.10610932475884183
3616  1.90215264187867      0.10610932475884183	3617  1.90215264187867      0.10322580645161172
3617  1.90215264187867      0.10322580645161172	3618  1.90215264187867      0.10322580645161172
3618  1.90215264187867      0.10322580645161172	3619  1.90215264187867      0.10322580645161172
3619  1.90215264187867      0.10322580645161172	3620  1.90215264187867      0.10749185667752553
3620  1.90215264187867      0.10749185667752553	3621  1.86692759295499      0.10032362459546901
3621  1.86692759295499      0.10032362459546901	3622  1.86692759295499      0.10032362459546901
3622  1.86692759295499      0.10032362459546901	3623  1.86692759295499        0.096774193548388
3623  1.86692759295499        0.096774193548388	3624  1.86692759295499        0.096774193548388
3624  1.86692759295499        0.096774193548388	3625  1.86692759295499      0.09324758842443925
3625  1.86692759295499      0.09324758842443925	3626  1.86692759295499      0.09385113268608454
3626  1.86692759295499      0.09385113268608454	3627  1.86692759295499      0.09324758842443925
3627  1.86692759295499      0.09324758842443925	3628  1.86692759295499      0.09032258064516274
3628  1.86692759295499      0.09032258064516274	3629  1.86692759295499      0.08681672025723548
3629  1.86692759295499      0.08681672025723548	3630  1.86692759295499      0.09032258064516274
3630  1.86692759295499      0.09032258064516274	3631  1.86692759295499      0.09032258064516274
3631  1.86692759295499      0.09032258064516274	3632  1.86692759295499      0.09032258064516274
3632  1.86692759295499      0.09032258064516274	3633  1.86692759295499      0.09032258064516274
3633  1.86692759295499      0.09032258064516274	3634  1.86692759295499      0.09032258064516274
3634  1.86692759295499      0.09032258064516274	3635  1.86692759295499      0.08681672025723548
3635  1.86692759295499      0.08681672025723548	3636  1.86692759295499       0.0833333333333334
3636  1.86692759295499       0.0833333333333334	3637  1.86692759295499      0.08681672025723548
3637  1.86692759295499      0.08681672025723548	3638  1.86692759295499      0.08387096774193566
3638  1.86692759295499      0.08387096774193566	3639  1.86692759295499       0.0809061488673135
3639  1.86692759295499       0.0809061488673135	3640  1.86692759295499       0.0809061488673135
3640  1.86692759295499       0.0809061488673135	3641  1.86692759295499       0.0809061488673135
3641  1.86692759295499       0.0809061488673135	3642  1.86692759295499       0.0809061488673135
3642  1.86692759295499       0.0809061488673135	3643  1.86692759295499       0.0809061488673135
3643  1.86692759295499       0.0809061488673135	3644  1.86692759295499       0.0809061488673135
3644  1.86692759295499       0.0809061488673135	3645  1.86692759295499       0.0809061488673135
3645  1.86692759295499       0.0809061488673135	3646  1.86692759295499       0.0809061488673135
3646  1.86692759295499       0.0809061488673135	3647  1.86692759295499      0.07741935483870856
3647  1.86692759295499      0.07741935483870856	3648  1.86692759295499       0.0809061488673135
3648  1.86692759295499       0.0809061488673135	3649  1.86692759295499      0.07741935483870856
3649  1.86692759295499      0.07741935483870856	3650  1.86692759295499       0.0809061488673135
3650  1.86692759295499       0.0809061488673135	3651  1.86692759295499      0.07741935483870856
3651  1.86692759295499      0.07741935483870856	3652  1.86692759295499       0.0809061488673135
3652  1.86692759295499       0.0809061488673135	3653  1.86692759295499      0.07741935483870856
3653  1.86692759295499      0.07741935483870856	3654  1.86692759295499      0.07051282051281975
3654  1.86692759295499      0.07051282051281975	3655  1.86692759295499      0.07051282051281975
3655  1.86692759295499      0.07051282051281975	3656  1.86692759295499      0.07051282051281975
3656  1.86692759295499      0.07051282051281975	3657  1.86692759295499      0.07051282051281975
3657  1.86692759295499      0.07051282051281975	3658  1.86692759295499      0.07051282051281975
3658  1.86692759295499      0.07051282051281975	3659  1.86692759295499      0.07051282051281975
3659  1.86692759295499      0.07051282051281975	3660  1.86692759295499      0.07051282051281975
3660  1.86692759295499      0.07051282051281975	3661  1.86692759295499      0.07051282051281975
3661  1.86692759295499      0.07051282051281975	3662  1.86692759295499      0.07051282051281975
3662  1.86692759295499      0.07051282051281975	3663  1.90215264187867      0.05769230769230772
3663  1.90215264187867      0.05769230769230772	3664  1.90215264187867      0.06070287539936165
3664  1.90215264187867      0.06070287539936165	3665  1.90215264187867      0.06070287539936165
3665  1.90215264187867      0.06070287539936165	3666  1.90215264187867      0.05769230769230772
3666  1.90215264187867      0.05769230769230772	3667  1.90215264187867      0.06070287539936165
3667  1.90215264187867      0.06070287539936165	3668  1.90215264187867      0.05769230769230772
3668  1.90215264187867      0.05769230769230772	3669  1.86692759295499      0.07051282051281975
3669  1.86692759295499      0.07051282051281975	3670  1.86692759295499      0.07051282051281975
3670  1.86692759295499      0.07051282051281975	3671  1.86692759295499      0.07051282051281975
3671  1.86692759295499      0.07051282051281975	3672  1.86692759295499      0.06410256410256364
3672  1.86692759295499      0.06410256410256364	3673  1.86692759295499       0.0636942675159233
3673  1.86692759295499       0.0636942675159233	3674  1.86692759295499      0.06070287539936165
3674  1.86692759295499      0.06070287539936165	3675  1.86692759295499      0.06070287539936165
3675  1.86692759295499      0.06070287539936165	3676  1.86692759295499      0.06070287539936165
3676  1.86692759295499      0.06070287539936165	3677  1.86692759295499      0.06410256410256364
3677  1.86692759295499      0.06410256410256364	3678  1.86692759295499      0.06410256410256364
3678  1.86692759295499      0.06410256410256364	3679  1.86692759295499      0.06410256410256364
3679  1.86692759295499      0.06410256410256364	3680  1.86692759295499      0.06410256410256364
3680  1.86692759295499      0.06410256410256364	3681  1.86692759295499      0.06410256410256364
3681  1.86692759295499      0.06410256410256364	3682  1.86692759295499      0.06410256410256364
3682  1.86692759295499      0.06410256410256364	3683  1.86692759295499      0.06410256410256364
3683  1.86692759295499      0.06410256410256364	3684  1.86692759295499      0.06410256410256364
3684  1.86692759295499      0.06410256410256364	3685  1.86692759295499      0.06410256410256364
3685  1.86692759295499      0.06410256410256364	3686  1.86692759295499      0.06410256410256364
3686  1.86692759295499      0.06410256410256364	3687  1.86692759295499      0.06410256410256364
3687  1.86692759295499      0.06410256410256364	3688  1.86692759295499      0.06410256410256364
3688  1.86692759295499      0.06410256410256364	3689  1.86692759295499      0.06410256410256364
3689  1.86692759295499      0.06410256410256364	3690  1.86692759295499      0.06410256410256364
3690  1.86692759295499      0.06410256410256364	3691  1.86692759295499      0.06109324758842488
3691  1.86692759295499      0.06109324758842488	3692  1.86692759295499      0.06410256410256364
3692  1.86692759295499      0.06410256410256364	3693  1.90215264187867      0.05769230769230772
3693  1.90215264187867      0.05769230769230772	3694  1.90215264187867     0.054662379421222804
3694  1.90215264187867     0.054662379421222804	3695  1.90215264187867     0.054662379421222804
3695  1.90215264187867     0.054662379421222804	3696  1.90215264187867     0.054662379421222804
3696  1.90215264187867     0.054662379421222804	3697  1.90215264187867       0.0580645161290321
3697  1.90215264187867       0.0580645161290321	3698  1.90215264187867     0.054662379421222804
3698  1.90215264187867     0.054662379421222804	3699  1.90215264187867     0.061488673139159025
3699  1.90215264187867     0.061488673139159025	3700  1.90215264187867     0.061488673139159025
3700  1.90215264187867     0.061488673139159025	3701  1.90215264187867      0.06070287539936165
3701  1.90215264187867      0.06070287539936165	3702  1.90215264187867       0.0645161290322591
3702  1.90215264187867       0.0645161290322591	3703  1.90215264187867      0.06752411575562714
3703  1.90215264187867      0.06752411575562714	3704  1.90215264187867       0.0645161290322591
3704  1.90215264187867       0.0645161290322591	3705  1.90215264187867       0.0645161290322591
3705  1.90215264187867       0.0645161290322591	3706  1.90215264187867      0.07051282051281975
3706  1.90215264187867      0.07051282051281975	3707  1.90215264187867      0.07051282051281975
3707  1.90215264187867      0.07051282051281975	3708  1.90215264187867      0.07395498392282777
3708  1.90215264187867      0.07395498392282777	3709  1.90215264187867      0.07987220447284282
3709  1.90215264187867      0.07987220447284282	3710  1.90215264187867      0.07987220447284282
3710  1.90215264187867      0.07987220447284282	3711  1.90215264187867      0.07987220447284282
3711  1.90215264187867      0.07987220447284282	3712  1.90215264187867      0.07987220447284282
3712  1.90215264187867      0.07987220447284282	3713  1.90215264187867      0.07987220447284282
3713  1.90215264187867      0.07987220447284282	3714  1.90215264187867      0.07987220447284282
3714  1.90215264187867      0.07987220447284282	3715  1.90215264187867      0.07987220447284282
3715  1.90215264187867      0.07987220447284282	3716  1.90215264187867      0.07987220447284282
3716  1.90215264187867      0.07987220447284282	3717  1.90215264187867       0.0833333333333334
3717  1.90215264187867       0.0833333333333334	3718  1.90215264187867      0.07987220447284282
3718  1.90215264187867      0.07987220447284282	3719  1.90215264187867       0.0833333333333334
3719  1.90215264187867       0.0833333333333334	3720  1.90215264187867      0.08681672025723548
3720  1.90215264187867      0.08681672025723548	3721  1.90215264187867      0.08681672025723548
